x;y
781;357
988;586
-709;-109
41;-254
-899;-680
-756;-543
388;33
27;990
-413;912
923;938
67;485
508;-221
419;275
217;139
-241;-896
430;776
-615;-305
-240;-312
-88;796
144;741
-983;742
76;-420
332;846
-359;-180
814;-606
421;47
-780;683
475;774
-588;437
898;-521
-499;-219
949;-417
-930;-927
-466;-806
89;-66
-830;-373
745;-728
-574;98
-613;447
-690;910
356;-457
-662;-673
525;-607
653;-220
965;443
729;-506
-146;-663
-631;422
173;665
287;127
748;-438
267;938
18;-182
408;813
-648;-325
180;558
322;139
-89;-923
-738;-303
550;314
862;-181
-205;582
-211;832
-591;-372
759;658
666;-540
519;663
289;-75
-86;271
103;0
18;-617
-470;782
416;-635
-247;155
45;832
-482;-77
12;913
-741;955
306;828
-654;78
-454;-531
-363;805
121;-232
-85;-9
-401;637
190;919
29;-881
-897;-213
-848;-595
-269;246
900;132
-861;519
91;64
83;-289
-684;102
-122;-628
190;-806
-121;-931
-986;542
-251;564
-538;-388
832;-320
-699;-821
712;199
761;535
-856;-823
-695;93
-550;343
-779;868
-238;463
961;487
-421;-181
-389;-962
395;-784
702;-776
-258;-478
-46;-105
-712;-438
256;-594
-187;-51
-988;101
-584;-176
-716;-896
609;-629
786;-314
907;30
-879;-352
941;643
-868;-668
990;413
456;810
-552;819
-318;-235
-910;-918
-86;-12
234;-168
-827;505
-325;255
286;187
673;316
565;-110
536;-380
-5;-205
-219;-904
-559;974
40;777
-593;-288
704;-369
-239;-256
-113;-878
974;447
423;628
-956;14
-483;-296
-421;375
-176;-629
-706;-55
-866;-762
-748;455
-306;61
-956;646
-825;-436
348;-390
-128;799
-777;203
920;-529
397;843
957;-278
-930;-428
-990;707
-802;525
-32;913
327;248
-974;-735
50;-271
546;6
-33;560
-221;-924
432;-165
10;63
981;-212
453;-751
259;8
-473;912
603;475
403;620
-693;-1
-409;560
423;-124
256;450
-56;-950
-35;937
-316;-768
-655;-899
844;136
175;579
-740;443
-597;-768
88;663
