x;y
302;777
-721;-740
84;-764
520;-85
-601;-760
-523;-799
-51;230
218;111
786;354
716;782
-710;-828
706;955
265;975
864;-997
868;753
-880;222
-560;-817
495;-647
878;-310
468;-949
232;-389
258;-70
58;612
-616;-841
851;754
394;918
378;74
-138;-79
247;-874
780;318
-9;-405
909;486
39;-573
315;18
-7;913
-900;-535
-848;806
-207;-245
-793;-69
-158;-764
893;844
-267;743
788;-787
-499;566
293;951
-450;422
-248;92
397;872
-685;-950
948;-216
-565;839
267;621
893;469
-391;-104
275;-121
-181;617
70;784
505;-883
-675;423
707;-857
391;-82
-146;-514
685;310
-459;7
166;-58
-639;-325
-143;-710
-887;-447
-514;-443
399;869
205;985
-999;597
-847;97
272;-569
-510;316
965;6
233;78
317;-993
636;-536
-319;-799
847;139
303;485
442;559
85;-709
-803;856
-99;-813
144;-470
-501;-154
745;454
267;484
-804;-19
167;627
224;-208
687;88
-236;-614
793;-763
584;-782
-812;575
-723;-892
-668;-555
915;801
476;390
-295;436
450;725
-10;-55
800;816
-844;-974
248;926
378;471
-61;309
-947;-501
-581;-918
358;-743
65;-89
933;600
981;-943
347;-935
-571;590
-485;197
-886;-942
597;-211
-694;-885
673;986
734;478
-125;192
-641;-197
729;530
-681;-278
-851;463
177;938
-141;-432
-231;968
-94;-536
299;-408
297;-406
631;829
989;-121
971;-889
407;-932
-617;-989
924;-100
430;-626
979;227
213;860
368;976
985;775
-222;-647
-64;727
326;-349
449;960
323;-746
664;319
855;-331
-842;462
-881;-827
984;-351
288;-57
165;-548
994;470
127;-795
317;163
102;486
-456;327
-178;119
356;213
954;151
665;529
397;945
372;-440
-812;946
-575;-547
706;659
829;-426
151;-451
-169;-858
-383;370
-647;-680
-992;642
-573;952
-574;592
-334;-883
546;911
887;-782
-344;702
952;394
678;-961
755;434
327;-666
444;-462
856;-232
-811;-46
883;181
514;722
-477;-50
-121;578
-235;628
476;-874
-793;-201
-452;-315
-996;621
