x;y
888;589
850;504
-672;695
671;832
398;-591
-387;-985
806;-851
103;-303
619;-729
994;473
-36;-658
205;574
100;118
738;455
191;-612
-970;181
-705;-28
148;-175
-585;-599
805;929
597;-899
272;969
-551;-515
815;-606
-594;-820
-370;820
187;-76
-600;842
902;783
473;976
579;-363
-899;-161
-408;-863
-589;-706
613;599
552;-360
570;-130
218;223
221;70
-753;963
-465;788
92;936
-432;-320
-951;-72
750;174
-897;-722
-38;-664
873;-362
-485;-258
602;-595
556;747
-732;455
132;-811
310;923
-165;-5
-855;-925
117;-624
142;29
608;846
-834;-939
-523;374
-785;-567
-423;-870
-13;773
-278;-287
322;983
856;-791
922;76
-249;-264
884;731
196;489
-164;728
-640;-150
-544;-138
157;-948
-613;-862
-400;-31
562;-174
-167;-134
541;687
352;-96
672;-507
-142;704
-827;-880
665;262
-678;242
713;935
925;-151
24;-848
-826;388
-257;944
-707;-794
478;170
935;-626
-270;492
445;113
510;680
129;66
-773;-479
591;-192
500;641
734;-642
408;-497
-489;-175
386;227
603;481
88;648
-208;745
-892;698
-227;272
582;895
-168;-729
92;167
791;274
301;306
525;560
-743;-37
-131;-629
-248;191
-847;-136
129;565
-694;-214
-783;243
695;625
411;777
-74;126
-266;-23
141;-562
-165;-195
737;-933
-714;-456
-378;-777
533;-270
-752;-25
-172;-567
-869;-73
-950;627
-392;-857
-333;-732
875;-63
-679;-413
-493;215
256;78
-202;-315
899;-365
-854;808
850;72
-444;-402
-109;372
-782;-656
-904;324
112;806
160;-547
-781;-37
102;487
-920;-693
58;561
978;570
-650;182
-377;-812
-842;270
455;-608
921;200
564;-351
852;590
272;-962
-341;-161
537;-295
-597;-391
795;-778
-783;-16
-209;215
149;-838
-781;786
311;-796
27;908
358;692
567;335
-70;-633
-767;529
494;-835
243;-416
-785;-398
-540;142
664;802
-984;468
-669;-860
358;-822
-65;-785
152;-396
-726;-66
-144;837
36;-930
-383;417
57;-794
764;-805
468;-902
-282;-181
774;-884
-610;-407
-541;-758
545;-288
-120;470
-219;913
-895;-511
-413;882
840;595
-761;-230
-192;-998
-927;-478
826;396
400;94
451;-906
-849;752
-486;-546
983;-123
-549;-971
-300;-86
83;-224
-6;850
119;-577
-416;497
808;-592
625;-162
-742;-622
179;-447
383;366
801;-694
-400;149
234;-414
-470;948
470;949
498;-222
172;815
-875;944
-261;-896
298;-138
884;597
-346;-131
-798;-157
-42;324
-606;-458
144;-6
-975;-529
-791;-402
-76;-88
-742;484
-274;306
-382;966
88;613
-531;-238
-118;-436
137;426
811;481
754;-451
966;-434
-285;864
296;-382
-208;123
263;-408
-758;-567
-80;837
107;-731
542;-41
-53;592
-711;488
408;-743
896;399
972;-928
-920;846
-626;-97
956;463
-279;-811
-930;386
-68;-321
884;-154
-655;29
-683;-823
-333;597
261;498
680;384
-33;-67
-516;680
773;-551
-718;225
-415;-977
-634;-554
-106;413
311;-974
322;536
878;488
-425;268
-353;-164
897;705
626;300
-490;439
-981;-410
988;573
176;-694
975;-993
-63;741
67;203
509;818
-133;-815
-318;-505
-361;13
-235;885
869;110
-209;-310
-629;921
824;-556
505;464
841;-296
-357;-923
-77;318
183;-325
209;-786
769;-547
-756;766
931;-146
-72;-301
-468;215
-826;910
329;-899
113;185
-982;143
-925;-763
-767;777
977;-804
-847;87
-210;-41
913;333
-400;765
-611;-120
-64;-268
223;-976
347;-141
-252;-466
-166;-470
-7;345
-72;955
-825;-685
-945;-248
49;-856
-451;-763
-821;-723
-832;-202
866;782
-33;510
243;672
555;900
-91;-164
-709;-97
-247;-2
-669;347
143;372
490;-121
-772;457
-814;971
528;482
-962;682
-707;694
144;470
306;206
663;107
-791;666
-891;-140
-547;-435
-960;424
564;1000
294;-523
-548;-268
-393;762
-318;-916
-686;411
-916;847
618;640
982;-323
-821;787
-767;486
-682;996
-235;-929
-918;-306
-852;-925
-792;751
-589;-937
-211;240
126;-354
396;-199
638;-334
106;974
-833;3
113;960
51;-288
-113;-905
514;-644
849;-5
488;-531
-491;60
861;697
-130;-522
622;-120
448;634
-485;-40
120;451
-355;848
908;-382
-315;-905
-511;775
800;-46
-211;-841
460;-649
-977;-552
-372;-314
-543;338
-301;-74
935;-742
969;817
-926;340
-644;-267
-216;549
-568;515
-204;537
-837;579
-112;-28
-258;-55
-237;135
-61;-961
-590;-317
-323;-205
349;-375
-376;-129
-496;-872
993;-353
-528;420
-802;-863
793;-932
-467;-934
-280;-547
654;-633
-832;266
-733;-380
-816;-520
-280;806
577;-866
305;-310
739;-614
-562;-897
-19;881
599;30
-634;-681
-945;-537
792;-967
777;-110
-942;-966
-107;84
-980;-396
846;882
683;-872
-874;983
-510;126
578;-727
306;-210
231;-305
-948;-170
84;108
613;-926
-293;15
627;-487
733;790
686;873
-918;938
209;-327
699;884
456;-984
56;903
-907;-423
-599;781
810;306
559;697
568;861
570;-257
-20;264
481;621
108;674
-597;566
542;263
-758;-612
163;269
837;-974
45;-94
555;935
-676;338
836;-330
282;-638
-771;704
-178;935
524;287
672;507
-905;526
834;482
-806;59
989;89
-19;-728
343;873
837;721
848;-654
-606;379
105;134
180;979
163;327
430;257
-379;357
-676;-688
111;-610
989;-84
72;-986
697;-302
682;-108
-340;-760
84;-775
-39;-7
-336;16
737;747
565;468
395;-240
-321;654
866;-84
122;-443
56;657
416;-447
96;761
-401;38
942;-615
-420;81
162;312
58;372
586;-613
-916;-476
-125;212
-361;-321
706;-127
-948;524
481;-91
289;724
-414;-960
-674;962
482;447
448;-659
845;672
487;808
-571;166
-759;-202
-695;-360
-741;880
-320;945
-78;-281
88;423
531;-742
-662;-87
-614;341
715;-537
-438;-970
-251;852
-326;-995
342;-733
871;534
596;-846
-824;-705
721;-356
510;379
-878;398
419;-963
-268;-941
-419;-746
-387;-970
706;-934
907;-478
172;326
-373;-669
-418;81
-267;-42
-709;-343
635;772
-133;-587
387;-776
637;762
-390;-600
186;437
46;365
-507;926
947;-969
-649;-847
638;-161
201;382
438;-215
-831;-518
-193;-437
-821;690
-610;-355
172;-753
-721;-852
-541;137
-784;-697
363;784
453;273
-931;233
-929;-654
707;455
708;850
-249;-827
162;-313
-715;775
282;695
931;-881
665;584
546;609
-742;390
-48;-735
412;-285
-513;-918
-760;445
-735;-950
-809;458
607;-642
194;76
-772;-877
920;331
-534;-53
587;-917
319;-822
381;-533
22;512
-265;283
-716;762
114;-116
34;-991
580;-849
970;-755
839;-281
-686;960
646;-625
-276;929
200;244
-339;-951
-233;844
-721;471
332;123
-700;-441
-762;388
-484;455
497;788
-815;-945
-175;339
528;-218
-485;236
