x;y
-352;953
-756;-56
-463;-323
-775;603
-672;-368
-55;-347
50;-520
-102;601
-831;-25
522;-213
-992;333
3;203
364;-765
-867;-873
-971;286
684;-511
-566;-347
607;544
-187;-845
-505;-933
-6;-64
627;850
398;-489
-363;647
-871;-186
-908;871
-158;347
-277;696
908;-552
154;278
-760;-600
-533;-802
686;412
520;-948
-767;268
-973;240
-224;-737
605;977
142;226
24;-599
989;936
-243;-344
545;793
-828;260
294;-773
782;-251
-474;-487
-68;-74
-689;336
715;392
-285;825
-302;796
-979;363
-992;51
630;-170
-175;507
82;-624
844;571
-739;586
558;-923
647;566
-109;761
701;873
891;941
-618;-752
-811;-606
690;-531
-749;-128
536;-17
-895;-120
84;-641
-241;-438
539;693
795;-197
858;911
584;914
545;-310
969;379
-621;174
647;984
289;827
-569;-136
-515;367
-921;494
118;-604
36;663
603;76
-515;-313
-10;-281
-110;-913
114;-781
25;-700
-491;811
960;-272
-311;-301
72;-842
-324;-911
-297;906
-669;178
-907;-365
